index,BuildingRatingDesc,BuildingClassDesc,StreetAddress,Quadrant,City,State,PostCode,Latitude,Longitude,MinRent,MaxRent,NumBedsMin,NumBedsMax,NumBathsMin,NumBathsMax,UnitMinSqFt,UnitMaxSqFt,NUMUNITS,MinLeaseTermsMonths,MaxLeaseTermsMonths,IsShortTermLeaseAvailableFlag,AYB,EYB,YR_RMDL,STORIES,GBA,LotSqFtTotal,Rooms-Kitchen,Rooms-Heating,Rooms-Range,Rooms-Refrigerator,Rooms-Oven,Rooms-Air Conditioning,Building-Elevator,Rooms-Wheelchair Accessible (Rooms),Building-Laundry Facilities,Rooms-Hardwood Floors,Rooms-Tub/Shower,Rooms-Cable Ready,Rooms-Dishwasher,Building-Property Manager on Site,Building-Fitness Center,Building-Doorman,Rooms-Stainless Steel Appliances,Building-Controlled Access,Rooms-Microwave,Building-Concierge,Rooms-Washer/Dryer,Rooms-Granite Countertops,Rooms-Balcony,Rooms-Views,Building-24 Hour Availability,Rooms-High Speed Internet Access,Building-Maintenance on site,Building-Security System,Rooms-Vaulted Ceiling,Building-On-Site Retail,Building-Bike Storage,Rooms-Walk-In Closets,Building-Courtyard,Rooms-Storage Units,Building-Pool,Building-Storage Space,Rooms-Tile Floors,Building-Rooftop Lounge,Building-Gameroom,Building-Package Service,Building-Lounge,Rooms-Fireplace,Building-Sundeck,Building-Playground,Building-Clubhouse,Rooms-Intercom,Rooms-Smoke Free,Rooms-Disposal,Rooms-Eat-in Kitchen,Building-Dry Cleaning Service,Rooms-Freezer,Rooms-Carpet,Building-Business Center,Building-Vintage Building,Building-Video Patrol,Rooms-Dining Room,Building-Spa,Building-Media Center/Movie Theatre,Building-Sauna,Building-Grill,Building-Recycling,Rooms-Wi-Fi,Building-Laundry Service,Rooms-Patio,Rooms-Deck,Building-Car Charging Station,Rooms-Window Coverings,Building-Breakfast/Coffee Concierge,Building-Pet Play Area,Rooms-Crown Molding,Building-Maid Service,Building-Basketball Court,Rooms-Office,Building-Gated,Building-Cardio Machines,Rooms-Pantry,Rooms-Bay Window,Building-Free Weights,Building-Furnished Units Available,Rooms-Garden,Rooms-Ceiling Fans,Building-Online Services,Rooms-Washer/Dryer Hookup,Rooms-Sprinkler System,Rooms-Alarm,Building-Waterfront,Rooms-Double Pane Windows,Building-Multi Use Room,Building-Trash Pickup - Curbside,Building-Weight Machines,Rooms-Ice Maker,Building-Library,Building-Health Club Facility,Building-Picnic Area,Building-Planned Social Activities,Building-Walking/Biking Trails,Rooms-Basement,Rooms-Double Vanities,Rooms-Satellite TV,Rooms-Linen Closet,Building-Trash Pickup - Door to Door,Building-Pet Care,Building-Renters Insurance Program,Rooms-Yard,Building-Fitness Programs,Note
967,2 Star,C,9014 Rhode Island Ave,,College Park,MD,20740,39.0003116,-76.9259974,,,0,1,1,1,600,700,108,,,,,,,8,73000,108464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,4 Star,A,46565 Harry Byrd Hwy,,Sterling,VA,20164,39.0220271,-77.3902753,1152,1170,1,2,1,2,702,886,150,,,,,,,3,172044,247338,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Located in Sterling, Virginia, Cascades Village is a thriving, smoke-free community that over 150 seniors call home. We are a community for adults age 55 years or over. You will love your beautiful, Loudon County home at Cascades Village, which features a fully-equipped kitchen for the chef to enjoy and attractive community spaces to socialize with fellow community members. Cascades Village is nestled in a peaceful, wooded setting, yet located close to stores and restaurants for your dining and shopping pleasure. We are only 12 miles from Leesburg. You will find numerous activities and comfortable spaces to enjoy at Cascades Village including a community room with a kitchen, library, large TV room, movie theater, beauty parlor, fully-equipped exercise room, sitting porch, patio with a BBQ grill, and gazebo."
969,3 Star,B,2422-2244 17th St NW,NW,Washington,DC,200092726,38.9222602,-77.0392812,,,1,2,1,1,355,655,38,,,,,2017,2017,2,9624,14375,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
970,3 Star,B,1600 16th St NW,NW,Washington,DC,20009,38.911221,-77.036952,1599,2371,0,1,1,1,400,892,83,,,,,,,8,40456,5942,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In the heart of downtown, you will find an historic treasure, ???. With character like no other and unique accents throughout, ??? is a rare gem! Efficiencies with refinished wood floors, beautiful, step-saver kitchens and plenty of large, bright windows are only some of the amenities that provide residents with the comforts of home. Central air conditioning and all utilities are included. Conveniently situated near fine dining, upscale shops and only a short stroll to the DuPont Circle metro, ??? truly defines ideal living. Welcome to DARO...welcome home."
971,2 Star,C,2727 Duke St,,Alexandria,VA,223144589,38.8076616,-77.0773626,1010,1855,0,3,1,2,288,1050,235,,,,,,,14,239700,63441,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
972,5 Star,A,28 K St SE,SE,Washington,DC,200033328,38.8789068,-77.0077688,1935,5810,0,3,1,3,0,1284,383,,,,2015,,,11,527109,84071,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The nations capital is experiencing a never-before-seen level of modern luxury living. Located in Southeast, Washingtons only waterfront neighborhood, steps from Nationals Park and a short stroll from Capitol Hill, ??? will exceed the expectations of Washingtons most discerning residents with its extraordinary amenity offerings, high-end finishes and tailored lifestyle services. Featured inside is a collection of unique public spaces and amenities carefully crafted with artisan designed furniture and finishes sourced from around the world. Every detail has been thoroughly considered. Retreat into the lush interior courtyard or rooftop, relax with a best-seller in the resident lounge, enjoy an exceptional evening with friends in the private party room  or just steps from your front door, admire the serenity of a gorgeous sunset while strolling through Canal Park or along the river walk trail."
973,3 Star,C,1133 13th St NW,NW,Washington,DC,200054203,38.9054564,-77.0292733,,,1,1,,,435,717,35,,,,,,,8,41832,8499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,3 Star,C,3432 13th St SE,SE,Washington,DC,200324420,38.8413786,-76.9880568,995,1160,1,2,1,2,710,975,83,,,,,2011,2011,3,90397,127058,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
975,2 Star,C,600-612 Smithfield Ave,,Winchester,VA,22601,39.1910891,-78.1552455,,,0,0,,,,,15,,,,,,,3,12942,21797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,2 Star,C,301 Delafield Pl NW,NW,Washington,DC,200114172,38.9495868,-77.0161215,,,0,2,1,1,400,750,23,,,,,,,2,12440,12458,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
977,3 Star,C,22365 Enterprise St,,Sterling,VA,201644248,38.9970948,-77.4043772,747,900,0,1,1,1,500,700,90,,,,,,,3,63030,130680,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
978,4 Star,B,1150 K St NW,NW,Washington,DC,20005,38.902255,-77.027799,,,0,0,,,,,139,,,,,,,14,143000,12197,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
979,3 Star,C,1346 Park Rd NW,NW,Washington,DC,200102350,38.930383,-77.031327,1873,2750,1,2,1,2,692,1035,28,,,,,,,3,30876,16248,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Now Leasing! Find your new apartment home today!??? provides fabulous apartment homes in the heart of one of DCs most vibrant neighborhoods, Columbia Heights. Located off the Green and Yellow Metro lines, Columbia Heights is a mecca of dining and shopping and home to Howard University. Check out DC favorites such as Sticky Fingers Bakery and Petes New Haven Style Apizza or visit your favorite stores in the DC USA Plaza where you can find Target, DSW, Marshalls and so much more.??? combines modern amenities with historical charm. The three story brick building was designed by the architectural firm Hunter & Bell in 1916 and was added to the National Register of Historic Places in 2012. Each apartment home features fabulous amenities to appease the modern resident."
980,3 Star,B,250 S Whiting St,,Alexandria,VA,22304,38.8113492,-77.1364392,,,0,2,1,2,457,1120,230,,,,,,,10,218290,181841,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Whitestone Landmark is located adjacent to Landmark Mall and Interstate 395. We are also a mile away from the Van Dorn Street Metro stop. You will find the best value and location in this luxury high rise building. Enjoy our awesome panoramic views from your balcony, and THE PRICE IS RIGHT!"
981,3 Star,B,1615 Q St NW,NW,Washington,DC,20009,38.9113041,-77.0373449,,,0,0,,,,,168,,,,,,,12,142800,,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
982,3 Star,B,5815 Marlboro Pike,,District Heights,MD,20747,38.857967,-76.90766,1210,1670,1,3,1,2,748,1282,116,,,,,,,3,153342,227383,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Experience the quality living you deserve at ???. Imagine finding an apartment home in a charming natural setting with spacious floorplans and all the modern conveniences to enhance your lifestyle. Enjoy the increased energy efficiency with the installation of new windows and balcony/patio sliders. A community with an incomparable location that has long been admired for comfort and hospitality. Imagine having a prompt and caring management team that provides you with the highest quality of service and who are committed to your comfort and convenience. Imagine being just minutes away from our nation's Capitol, Andrews Air Force Base, The Census Bureau and numerous shopping centers and schools. All this, and more, is a reality at ???."
983,2 Star,C,5300 Hamilton St,,Hyattsville,MD,207812816,38.9519924,-76.9223449,1183,1224,1,2,1,1,630,720,100,,,,,,,3,168621,271738,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
984,4 Star,A,6351 Spring Ridge Pky,,Frederick,MD,21701,39.4061936,-77.3447427,1040,1585,1,2,1,2,628,971,144,12,12,,,,,3,171195,527947,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spring Ridge Senior Apartments offers 144 bright and spacious one and two bedroom apartments within a state-of-the-art, three story building. Located in a beautiful natural setting, our wide array of services completes the package, offering everything you need for carefree, comfortable living. Our location within the planned residential community of Spring Ridge provides access to walking trails, 200 acres of open space, a Certified Wildlife Sanctuary, a Community Center with pool, tennis courts, and a retail shopping center that includes a bank, grocery store, and dry cleaner. All the best life has to offer, just outside your door."
985,3 Star,B,3051 Idaho Ave NW,NW,Washington,DC,200165733,38.930199,-77.077252,,,0,0,,,,,93,,,,,,,5,90000,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
986,3 Star,B,6000 Ditto Ave,,Fort Detrick,MD,217028225,39.4413323,-77.4291801,1375,1995,2,4,1,3,1207,4000,358,,,,,,,2,637792,,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Detrick Homes offers move in ready two-, three- and four-bedroom homes in both single-family and townhome styles. Located at Fort Detrick in Frederick, Maryland, our residents enjoy a secure and comfortable hometown environment with the convenience of 24-hour maintenance, lawn care services and community events. All Utilities included in most homes."
987,3 Star,B,2009 St Thomas Dr,,Waldorf,MD,20602,38.6034991,-76.8970209,1175,1930,0,1,0,1,721,868,122,,,,,,,4,121040,164657,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"??? offers spacious, superior mid-rise one-bedrooms as well as one-bedrooms with dens, all with elevator service and a newly renovated on-site fitness center. Luxuriously designed and attractively appointed, every apartment home at ??? offers a truly comfortable living space. It's more than just a place to live. Its a place to call home."
988,3 Star,B,3605 Moses Way,,Waldorf,MD,206023537,38.613983,-76.892767,746,846,1,2,1,1,750,980,96,,,,,,,3,119679,401188,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birchwood at Waldorf is a 96 unit affordable senior (55+) rental community in Charles County, Maryland. Known as the ""gateway to Southern Maryland"", the community is conveniently located near Washington, D.C. and Baltimore, MD. The development includes 96 units with 54 one bedroom and 42 two bedroom apartments. The apartments feature spacious floorplans, modern kitchens, central air, and large closets. The community offers a lounge, meeting and activity space, laundry facilities on every floor, a library, elevators, on-site management and a fitness room. Transportation services are provided several times daily. PLEASE NOTE: This is a 55+ affordable housing community, age and income restrictions apply. Income must range between $28,500-$44,150 according to Charles County income limits for current availability. Voucher holders welcome."
989,2 Star,C,2510-2514 Markham Ln,,Landover,MD,207852666,38.9247614,-76.8770749,,,1,1,,,,,26,,,,,,,3,41550,,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
990,4 Star,B,2120 Vermont Ave NW,NW,Washington,DC,200014039,38.918654,-77.024813,,,0,0,,,,,162,,,,,,,6,128800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,3 Star,B,11201 Scarlet Oak Dr,,Hagerstown,MD,217407564,39.6210793,-77.764507,1099,1201,3,4,1,1,1237,1278,100,,,,,,,2,146000,514008,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Always accepting applications! Income restrictions apply. Household size must qualify. Please call or stop by for details.
992,4 Star,A,13701 Keelingwood Cir,,Woodbridge,VA,22191,38.6542622,-77.273473,1186,1630,1,3,1,3,766,1252,126,,,,,,,4,175992,212551,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Crossings at Summerland will immediately appeal to your sense of comfort and spacious living while at the same time, satisfying your needs for privacy and convenience. Were pleasantly out of the way in the Woodbridge community, yet just a mile from I-95 and the bustling Potomac Mills Shopping Mall. The Crossings at Summerland is the result of our many years of experience in serving the needs of contented residents."
993,2 Star,C,1400 Florida Ave NE,NE,Washington,DC,20002,38.900378,-76.984418,,,1,1,1,1,750,750,150,,,,,,,10,140610,75792,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
994,2 Star,C,1416 R St NW,NW,Washington,DC,200093862,38.9123561,-77.0327267,1070,1344,0,3,1,1,360,1600,130,,,,,,,4,154456,56513,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
995,4 Star,A,3300 Galena Dr,,Frederick,MD,21704,39.323811,-77.345159,1517,2995,1,3,1,2,671,1324,352,,,,2015,,,4,478540,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"We are the very first apartment community ever to be built in Urbana, Maryland!"
996,2 Star,C,2400 Lee Hwy,,Arlington,VA,22201,38.8950343,-77.0891625,,,1,1,1,1,500,500,8,,,,,,,2,6124,8517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,3 Star,B,891 W Glebe Rd,,Alexandria,VA,22305,38.8427736,-77.0717699,,,1,2,1,1,762,1061,48,,,,,,,3,46632,72647,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
998,4 Star,A,300 L St NE,NE,Washington,DC,200023538,38.9039377,-77.0016045,1450,3060,0,2,0,2,502,995,58,,,,2012,,,6,45000,12123,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Make coming home something worth looking forward to at The ???. Offering boutique apartments in D.C.s most up and coming new neighborhood, life is better in NoMa. This pet-friendly apartment community is tucked away on a beautiful residential street and boasts an admirable Walkscore of 94. When you live here, youre just steps from the hottest nightlife on H-Street, the culinary culture of Union Market, and the Red Line Metro at the NoMa-Gallaudet U station for easy commuting. An unparalleled location paired with chic designer touches. That's what you'll find at the ???. @media screen and (max-width: 767px) { }"
999,3 Star,B,14120 Weeping Willow Dr,,Silver Spring,MD,209062538,39.0911649,-77.0713496,1220,2145,1,3,1,2,737,1316,512,,,,,,,4,1134736,244372,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Whether it's the ideal location or the unparalleled amenities, you will find that Peppertree Farm Apartment Homes is the ideal community to call home. You will love coming home to your new one, two, or three-bedroom apartment home featuring a modern kitchen with gas stove, stainless steel sink, dishwasher, and a private patio or balcony with gorgeous views. Step outside of your front door and enjoy the sparkling Olympic-size swimming pool, playground, cozy resident clubhouse with fireside lounge, business center, and fitness center. Ideally located near the Glenmont Metro Red Line, you will find getting around the Washington D.C. much easier. Also, enjoy quick access to Aspen Hill Shopping Center, Kohl's, Home Depot, Giant, and Kmart, as well as Georgian Forest Elementary School."
1000,3 Star,C,6707 Hawthorne St,,Landover,MD,207851704,38.924885,-76.891506,1097,1547,1,2,1,1,597,784,812,,,,,,,2,570000,562360,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Welcome home to ??? Townhomes and Apartments where superior service and a long list of amenities, plus the dedication of our team means you can expect complete satisfaction. We are located within minutes of downtown D.C."
1001,3 Star,C,548 Brookfield Dr,,Winchester,VA,226013452,39.1428118,-78.1894517,1500,1500,1,2,1,1,680,900,29,,,,,,,2,25650,54385,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
